frame,x,y,body_part
47.0,343.25,189.75,sx_shoulder
47.0,424.75,160.0,sx_elbow
47.0,498.25,134.0,sx_hand
48.0,296.6,190.8,neck
48.0,253.6,191.4,dx_shoulder
48.0,180.6,162.4,dx_elbow
48.0,105.8,133.4,dx_hand
48.0,343.8,189.2,sx_shoulder
48.0,419.4,153.6,sx_elbow
48.0,491.2,121.2,sx_hand
49.0,296.6,190.8,neck
49.0,253.0,190.0,dx_shoulder
49.0,181.2,151.6,dx_elbow
49.0,113.4,117.6,dx_hand
49.0,342.8,188.4,sx_shoulder
49.0,417.4,144.0,sx_elbow
49.0,482.0,104.6,sx_hand
50.0,296.8,190.2,neck
50.0,253.0,188.8,dx_shoulder
50.0,187.4,146.4,dx_elbow
50.0,121.4,103.6,dx_hand
50.0,342.4,188.2,sx_shoulder
50.0,414.4,136.4,sx_elbow
50.0,474.6,88.2,sx_hand
51.0,296.25,190.25,neck
51.0,254.25,190.75,dx_shoulder
51.0,185.25,135.75,dx_elbow
51.0,130.5,92.0,dx_hand
51.0,337.5,189.0,sx_shoulder
51.0,406.5,130.25,sx_elbow
51.0,461.25,77.75,sx_hand
52.0,296.2,189.0,neck
52.0,255.2,190.0,dx_shoulder
52.0,190.6,128.8,dx_elbow
52.0,135.8,78.8,dx_hand
52.0,339.0,186.4,sx_shoulder
52.0,402.6,119.6,sx_elbow
52.0,452.4,66.4,sx_hand
53.0,297.0,187.8,neck
53.0,256.2,189.4,dx_shoulder
53.0,200.4,126.0,dx_elbow
53.0,150.8,69.8,dx_hand
53.0,338.2,185.4,sx_shoulder
53.0,393.8,116.8,sx_elbow
53.0,439.4,52.6,sx_hand
54.0,297.6,189.0,neck
54.0,257.4,190.8,dx_shoulder
54.0,208.8,123.4,dx_elbow
54.0,164.6,58.0,dx_hand
54.0,338.8,186.0,sx_shoulder
54.0,389.0,109.6,sx_elbow
54.0,423.2,42.2,sx_hand
55.0,296.8,188.4,neck
55.0,257.0,190.8,dx_shoulder
55.0,214.4,119.2,dx_elbow
55.0,177.2,49.4,dx_hand
55.0,338.4,185.4,sx_shoulder
55.0,378.8,105.6,sx_elbow
55.0,408.0,39.0,sx_hand
56.0,296.6,189.4,neck
56.0,256.0,192.2,dx_shoulder
56.0,220.2,112.6,dx_elbow
56.0,191.8,44.0,dx_hand
56.0,338.8,186.2,sx_shoulder
56.0,372.6,103.2,sx_elbow
56.0,392.6,27.4,sx_hand
57.0,295.8,191.2,neck
57.0,255.4,194.6,dx_shoulder
57.0,228.4,109.2,dx_elbow
57.0,204.2,34.8,dx_hand
57.0,338.4,189.4,sx_shoulder
57.0,364.0,101.4,sx_elbow
57.0,379.2,24.6,sx_hand
58.0,296.2,194.8,neck
58.0,255.6,196.4,dx_shoulder
58.0,232.6,107.8,dx_elbow
58.0,217.8,31.2,dx_hand
58.0,338.6,193.6,sx_shoulder
58.0,354.4,99.8,sx_elbow
58.0,365.0,25.4,sx_hand
59.0,296.5,194.0,neck
59.0,254.5,195.0,dx_shoulder
59.0,240.75,106.25,dx_elbow
59.0,234.0,22.25,dx_hand
59.0,338.75,193.0,sx_shoulder
59.0,350.0,97.5,sx_elbow
59.0,352.0,24.0,sx_hand
60.0,296.2,196.2,neck
60.0,254.2,196.4,dx_shoulder
60.0,241.0,104.2,dx_elbow
60.0,244.0,29.0,dx_hand
60.0,338.0,194.4,sx_shoulder
60.0,339.6,98.4,sx_elbow
60.0,338.8,25.2,sx_hand
61.0,298.3333333333333,196.66666666666666,neck
61.0,257.6666666666667,197.33333333333334,dx_shoulder
61.0,250.33333333333334,100.66666666666667,dx_elbow
61.0,254.0,16.666666666666668,dx_hand
61.0,340.6666666666667,194.66666666666666,sx_shoulder
61.0,339.6666666666667,95.0,sx_elbow
61.0,332.0,21.666666666666668,sx_hand
62.0,298.0,194.66666666666666,neck
62.0,257.3333333333333,196.66666666666666,dx_shoulder
62.0,254.33333333333334,102.66666666666667,dx_elbow
62.0,264.3333333333333,28.0,dx_hand
62.0,342.0,192.66666666666666,sx_shoulder
62.0,339.0,93.66666666666667,sx_elbow
62.0,328.3333333333333,23.666666666666668,sx_hand
63.0,301.0,197.5,neck
63.0,260.5,199.5,dx_shoulder
63.0,259.5,101.0,dx_elbow
63.0,276.0,22.0,dx_hand
63.0,341.0,196.0,sx_shoulder
63.0,335.5,95.0,sx_elbow
63.0,318.0,26.0,sx_hand
64.0,310.0,197.0,neck
64.0,268.0,199.0,dx_shoulder
64.0,268.0,102.0,dx_elbow
64.0,280.0,24.0,dx_hand
64.0,350.0,196.0,sx_shoulder
64.0,344.0,93.0,sx_elbow
64.0,324.0,27.0,sx_hand
65.0,302.0,195.0,neck
65.0,262.0,197.0,dx_shoulder
65.0,258.5,100.0,dx_elbow
65.0,267.0,26.0,dx_hand
65.0,344.5,195.0,sx_shoulder
65.0,343.5,89.0,sx_elbow
65.0,327.0,20.5,sx_hand
66.0,302.0,194.0,neck
66.0,261.5,197.0,dx_shoulder
66.0,259.5,98.5,dx_elbow
66.0,271.0,19.5,dx_hand
66.0,344.5,193.5,sx_shoulder
66.0,341.0,90.5,sx_elbow
66.0,322.0,21.0,sx_hand
67.0,301.0,197.5,neck
67.0,260.5,199.5,dx_shoulder
67.0,260.5,99.5,dx_elbow
67.0,284.0,26.5,dx_hand
67.0,341.0,196.0,sx_shoulder
67.0,335.0,95.0,sx_elbow
67.0,313.0,27.5,sx_hand
68.0,310.0,197.0,neck
68.0,270.0,199.0,dx_shoulder
68.0,273.0,102.0,dx_elbow
68.0,292.0,28.0,dx_hand
68.0,350.0,198.0,sx_shoulder
68.0,343.0,96.0,sx_elbow
68.0,322.0,31.0,sx_hand
69.0,310.0,200.0,neck
69.0,270.0,199.0,dx_shoulder
69.0,271.0,102.0,dx_elbow
69.0,295.0,28.0,dx_hand
69.0,350.0,198.0,sx_shoulder
69.0,341.0,96.0,sx_elbow
69.0,321.0,29.0,sx_hand
70.0,310.0,200.0,neck
70.0,270.0,199.0,dx_shoulder
70.0,271.0,102.0,dx_elbow
70.0,292.0,28.0,dx_hand
70.0,349.0,198.0,sx_shoulder
70.0,341.0,96.0,sx_elbow
70.0,322.0,32.0,sx_hand
71.0,302.0,194.0,neck
71.0,261.5,196.0,dx_shoulder
71.0,259.5,99.5,dx_elbow
71.0,276.0,26.5,dx_hand
71.0,342.5,193.5,sx_shoulder
71.0,336.0,92.0,sx_elbow
71.0,323.0,26.5,sx_hand
72.0,301.5,195.0,neck
72.0,261.5,197.0,dx_shoulder
72.0,259.5,99.5,dx_elbow
72.0,278.5,27.5,dx_hand
72.0,342.0,193.5,sx_shoulder
72.0,336.0,92.5,sx_elbow
72.0,320.0,27.5,sx_hand
73.0,301.5,196.5,neck
73.0,261.5,198.5,dx_shoulder
73.0,260.5,97.5,dx_elbow
73.0,278.5,24.0,dx_hand
73.0,342.0,196.0,sx_shoulder
73.0,336.0,92.0,sx_elbow
73.0,319.0,28.5,sx_hand
74.0,300.5,197.0,neck
74.0,259.5,198.5,dx_shoulder
74.0,259.5,99.5,dx_elbow
74.0,278.5,26.5,dx_hand
74.0,341.5,195.0,sx_shoulder
74.0,335.5,93.0,sx_elbow
74.0,316.5,27.5,sx_hand
75.0,296.5,198.25,neck
75.0,256.5,199.25,dx_shoulder
75.0,251.25,101.5,dx_elbow
75.0,267.5,26.0,dx_hand
75.0,337.5,196.75,sx_shoulder
75.0,334.0,96.5,sx_elbow
75.0,316.0,28.5,sx_hand
76.0,298.3333333333333,198.66666666666666,neck
76.0,257.6666666666667,199.66666666666666,dx_shoulder
76.0,256.0,100.0,dx_elbow
76.0,279.0,25.0,dx_hand
76.0,337.6666666666667,197.0,sx_shoulder
76.0,332.6666666666667,95.0,sx_elbow
76.0,310.0,27.666666666666668,sx_hand
77.0,297.25,197.25,neck
77.0,257.25,198.5,dx_shoulder
77.0,252.5,100.5,dx_elbow
77.0,265.75,24.25,dx_hand
77.0,337.5,196.75,sx_shoulder
77.0,332.25,95.75,sx_elbow
77.0,314.75,26.75,sx_hand
78.0,295.2,195.6,neck
78.0,254.2,196.6,dx_shoulder
78.0,245.6,101.8,dx_elbow
78.0,257.2,27.2,dx_hand
78.0,336.2,195.8,sx_shoulder
78.0,332.8,96.8,sx_elbow
78.0,318.8,26.8,sx_hand
79.0,295.2,191.8,neck
79.0,255.0,192.6,dx_shoulder
79.0,235.4,102.8,dx_elbow
79.0,239.2,28.0,dx_hand
79.0,336.2,191.8,sx_shoulder
79.0,342.2,96.4,sx_elbow
79.0,334.6,22.2,sx_hand
80.0,296.0,190.75,neck
80.0,256.0,191.5,dx_shoulder
80.0,235.25,104.5,dx_elbow
80.0,225.0,29.5,dx_hand
80.0,336.5,191.25,sx_shoulder
80.0,348.25,96.25,sx_elbow
80.0,345.0,22.75,sx_hand
81.0,295.6,192.8,neck
81.0,254.2,193.8,dx_shoulder
81.0,231.2,105.8,dx_elbow
81.0,216.4,32.0,dx_hand
81.0,337.2,192.2,sx_shoulder
81.0,354.8,98.4,sx_elbow
81.0,360.6,24.8,sx_hand
82.0,294.8,187.4,neck
82.0,254.0,192.0,dx_shoulder
82.0,223.6,107.2,dx_elbow
82.0,202.2,35.0,dx_hand
82.0,337.6,184.4,sx_shoulder
82.0,364.2,99.8,sx_elbow
82.0,377.0,25.0,sx_hand
83.0,294.4,185.0,neck
83.0,253.0,187.8,dx_shoulder
83.0,217.0,109.2,dx_elbow
83.0,185.6,39.0,dx_hand
83.0,336.6,182.8,sx_shoulder
83.0,371.8,101.8,sx_elbow
83.0,392.8,26.8,sx_hand
84.0,294.4,184.6,neck
84.0,254.4,188.2,dx_shoulder
84.0,208.2,114.2,dx_elbow
84.0,172.2,44.4,dx_hand
