frame,x,y,score,body_part
55,351,183,0,sx_shoulder
55,439,172,0,sx_elbow
55,516,153,0,sx_hand
56,304,125,0,head
56,300,183,0,neck
56,255,183,0,dx_shoulder
56,174,158,0,dx_elbow
56,95,120,0,dx_hand
56,353,183,0,sx_shoulder
56,439,174,0,sx_elbow
56,518,155,0,sx_hand
57,302,125,0,head
57,300,183,0,neck
57,251,183,0,dx_shoulder
57,176,160,0,dx_elbow
57,97,123,0,dx_hand
57,351,183,0,sx_shoulder
57,432,179,0,sx_elbow
57,516,160,0,sx_hand
58,304,125,0,head
58,300,183,0,neck
58,255,181,0,dx_shoulder
58,181,160,0,dx_elbow
58,97,123,0,dx_hand
58,351,183,0,sx_shoulder
58,437,176,0,sx_elbow
58,518,160,0,sx_hand
59,304,123,0,head
59,302,183,0,neck
59,258,181,0,dx_shoulder
59,181,160,0,dx_elbow
59,95,118,0,dx_hand
59,353,183,0,sx_shoulder
59,434,174,0,sx_elbow
59,516,160,0,sx_hand
60,304,123,0,head
60,300,183,0,neck
60,255,181,0,dx_shoulder
60,179,158,0,dx_elbow
60,93,118,0,dx_hand
60,351,183,0,sx_shoulder
60,430,176,0,sx_elbow
60,518,160,0,sx_hand
61,304,123,0,head
61,300,183,0,neck
61,255,181,0,dx_shoulder
61,174,155,0,dx_elbow
61,88,116,0,dx_hand
61,351,183,0,sx_shoulder
61,432,172,0,sx_elbow
61,516,155,0,sx_hand
62,306,123,0,head
62,300,183,0,neck
62,255,181,0,dx_shoulder
62,176,155,0,dx_elbow
62,90,116,0,dx_hand
62,353,183,0,sx_shoulder
62,434,172,0,sx_elbow
62,518,155,0,sx_hand
63,309,123,0,head
63,302,181,0,neck
63,258,181,0,dx_shoulder
63,176,155,0,dx_elbow
63,93,118,0,dx_hand
63,353,183,0,sx_shoulder
63,437,172,0,sx_elbow
63,518,155,0,sx_hand
64,306,120,0,head
64,300,181,0,neck
64,255,181,0,dx_shoulder
64,176,155,0,dx_elbow
64,93,116,0,dx_hand
64,351,181,0,sx_shoulder
64,434,169,0,sx_elbow
64,518,153,0,sx_hand
65,304,120,0,head
65,302,181,0,neck
65,258,181,0,dx_shoulder
65,174,153,0,dx_elbow
65,93,113,0,dx_hand
65,351,181,0,sx_shoulder
65,430,169,0,sx_elbow
65,516,148,0,sx_hand
66,306,120,0,head
66,302,181,0,neck
66,258,181,0,dx_shoulder
