frame,x,y,body_part
54,401,108,sx_elbow
54,438,44,sx_hand
55,307,183,neck
55,267,187,dx_shoulder
55,217,121,dx_elbow
55,176,52,dx_hand
55,348,179,sx_shoulder
55,391,103,sx_elbow
55,426,40,sx_hand
56,307,183,neck
56,265,185,dx_shoulder
56,228,111,dx_elbow
56,192,44,dx_hand
56,348,181,sx_shoulder
56,384,101,sx_elbow
56,411,29,sx_hand
57,307,190,neck
57,265,197,dx_shoulder
57,232,108,dx_elbow
57,206,38,dx_hand
57,347,184,sx_shoulder
57,379,101,sx_elbow
57,395,25,sx_hand
58,308,198,neck
58,266,199,dx_shoulder
58,239,106,dx_elbow
58,213,32,dx_hand
58,347,196,sx_shoulder
58,367,100,sx_elbow
58,380,24,sx_hand
59,307,193,neck
59,263,192,dx_shoulder
59,249,105,dx_elbow
59,229,29,dx_hand
59,348,193,sx_shoulder
59,364,95,sx_elbow
59,371,25,sx_hand
60,310,197,neck
60,265,197,dx_shoulder
60,251,105,dx_elbow
60,245,28,dx_hand
60,348,196,sx_shoulder
60,352,98,sx_elbow
60,359,23,sx_hand
61,308,198,neck
61,266,199,dx_shoulder
61,254,102,dx_elbow
61,247,9,dx_hand
61,347,196,sx_shoulder
61,346,93,sx_elbow
61,343,21,sx_hand
62,307,195,neck
62,265,197,dx_shoulder
62,263,102,dx_elbow
62,265,27,dx_hand
62,348,193,sx_shoulder
62,345,90,sx_elbow
62,339,24,sx_hand
63,310,197,neck
63,268,199,dx_shoulder
63,268,102,dx_elbow
63,269,22,dx_hand
63,350,196,sx_shoulder
63,344,93,sx_elbow
63,331,24,sx_hand
64,310,197,neck
64,268,199,dx_shoulder
64,268,102,dx_elbow
64,280,24,dx_hand
64,350,196,sx_shoulder
64,344,93,sx_elbow
64,324,27,sx_hand
65,310,197,neck
65,268,199,dx_shoulder
65,268,102,dx_elbow
65,284,29,dx_hand
65,348,196,sx_shoulder
65,344,91,sx_elbow
65,321,27,sx_hand
66,310,197,neck
66,270,199,dx_shoulder
66,270,99,dx_elbow
66,287,19,dx_hand
66,350,196,sx_shoulder
66,343,96,sx_elbow
66,321,27,sx_hand
67,310,197,neck
67,270,199,dx_shoulder
67,270,99,dx_elbow
67,288,29,dx_hand
67,350,196,sx_shoulder
67,343,93,sx_elbow
67,321,27,sx_hand
68,310,197,neck
68,270,199,dx_shoulder
68,273,102,dx_elbow
68,292,28,dx_hand
68,350,198,sx_shoulder
68,343,96,sx_elbow
68,322,31,sx_hand
69,310,200,neck
69,270,199,dx_shoulder
69,271,102,dx_elbow
